depth_m,b59_ang201,b60_ang201,b61_ang201,b62_ang201,b65_ang201,b67_ang201,b73_ang201,b74_ang201,b76_ang201,b78_ang201
0.766572,0.0339824,0.0337142,0.0320133,0.0319697,0.0278433,0.0249824,0.0139861,0.0146056,0.0140612,0.014546
0.717804,0.0339824,0.0337142,0.0320133,0.0319697,0.0278433,0.0249824,0.0139861,0.0146056,0.0140612,0.014546
0.859536,0.0265019,0.0269122,0.0251139,0.0255495,0.0215885,0.0202538,0.0112785,0.0113779,0.0110417,0.0116026
0.77724,0.0272285,0.0275914,0.0254635,0.0248307,0.0218661,0.020672,0.0127347,0.0125051,0.0127458,0.0128702
0.649224,0.0311749,0.031153,0.0302716,0.0292743,0.0253353,0.0230877,0.0103614,0.0113873,0.0113048,0.0113377
0.818388,0.0292117,0.0290865,0.0275076,0.0282003,0.024262,0.0207781,0.0103105,0.0111733,0.0104355,0.0109004
0.592836,0.0302941,0.0305094,0.0291805,0.0295837,0.0254993,0.0223112,0.0096522,0.0101942,0.0104167,0.0104659
0.576072,0.0292634,0.0291064,0.0279769,0.0274925,0.0242807,0.0217482,0.0097029,0.0105382,0.0106914,0.0108934
0.545592,0.0279136,0.0274586,0.0268125,0.0256194,0.0229943,0.0200957,0.010232,0.0106946,0.0103487,0.0100959
0.583692,0.030679,0.0303002,0.0292417,0.0290804,0.0249506,0.0229194,0.0100018,0.0104939,0.0111333,0.0106366
0.801624,0.0263083,0.0259407,0.0254169,0.024024,0.0213686,0.019525,0.0094819,0.0093734,0.0095546,0.0096899
0.661416,0.0279136,0.0274586,0.0268125,0.0256194,0.0229943,0.0200957,0.010232,0.0106946,0.0103487,0.0100959
0.871728,0.0259746,0.0264533,0.0242345,0.0236183,0.0207341,0.0186299,0.0096217,0.0099179,0.0105154,0.0106558
0.669036,0.0259746,0.0264533,0.0242345,0.0236183,0.0207341,0.0186299,0.0096217,0.0099179,0.0105154,0.0106558
0.887984,0.0227843,0.0238386,0.021493,0.0216431,0.0185296,0.0165809,0.0099546,0.0098756,0.0103282,0.0098964
0.923544,0.023321,0.0235255,0.022217,0.0219419,0.0182738,0.016821,0.0090535,0.0097571,0.00974,0.009798
